"SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"ISG20",0.683133771011016,0.0704862948311578,3.15061699932531,0.00356113436994384,0.743525374046702,-1.9388687341415,2.91462739040361
"LRRIQ3",-1.70607690652376,-1.25200783245902,-3.47985731015445,0.00361705843580125,0.743525374046702,-1.76220814324802,-2.90976047550296
"EIF2S3B",1.63494716630191,-0.676082283587933,3.3537143568751,0.00364944741898913,0.743525374046702,-3.36717380766545,2.9069729606028
"GREB1L",0.720466083115383,5.71440262631818,3.14096087747173,0.0036513814508463,0.743525374046702,-1.82057560698792,2.9068072234334
"DMD",-0.736641330853382,6.27143779732114,-3.12953789173669,0.00376095524199325,0.743525374046702,-1.84486174675408,-2.89754521278954
"CD72",-0.704408264943965,-0.433788898343546,-3.12096582502422,0.00384523056761371,0.743525374046702,-2.01167477292702,-2.89058702083696
"ITGA2B",-0.618104945357422,2.16068306372654,-3.11713374566671,0.00388348381519661,0.743525374046702,-1.90596859410222,-2.88747425836428
"MIR548XHG",-0.775906839727691,-2.11178553455982,-3.11637694593114,0.00389108117105223,0.743525374046702,-2.15525122655776,-2.88685935962567
"LOC107983950",-0.650952337841356,-0.398398888592028,-3.11366081612776,0.00391846445928997,0.743525374046702,-2.02204678640804,-2.88465208063005
"LOC100128164",-0.822680895191013,-0.672667981364489,-3.35811646175178,0.00397299840486029,0.743525374046702,-1.84521671461255,-2.88029769122102
"CPLX1",1.04970582786767,0.924178495849145,3.10653354407379,0.00399119411651425,0.743525374046702,-1.97807036802449,2.87885688322814
"RNF145",0.579603203658348,7.23830891373067,3.1056296137333,0.00400050942527323,0.743525374046702,-1.89624589889635,2.87812156714769
"LINC00689",-1.03317054477127,-1.95439301172212,-3.31181435976383,0.00404823873951603,0.743525374046702,-1.93062120334229,-2.87437820456504
"SPDEF",-0.935164839431866,-2.08109576619424,-3.09736962885139,0.0040865944207409,0.743525374046702,-2.18461559647456,-2.87139892830005
"RASSF7",-0.509267708019702,3.09228349135396,-3.0966467177493,0.00409421179444728,0.743525374046702,-1.92923155177184,-2.87081027127603
"ATP8B3",-0.925699260122063,0.8378922131642,-3.34165468745127,0.00410407056756582,0.743525374046702,-1.70815399769586,-2.8700498768244
"ART5",-1.38172931980122,0.459263644357101,-3.32480400301735,0.00417290511418614,0.743525374046702,-1.81523671315436,-2.86478647796409
"DDIT4",-0.872315375305086,4.53032414072721,-3.3409416662453,0.00417701271078037,0.743525374046702,-1.58701488400103,-2.86447488931438
"CYP39A1",-0.931484982872664,1.50249407453915,-3.08719564599987,0.00419504848526897,0.743525374046702,-1.9841308803659,-2.86311003675532
